anzsco_code,raw_title,title_type_code,title_type,jurisdiction_scope,occupation_title,normalised_title,major_group_code,sub_major_group_code,minor_group_code,unit_group_code,major_group_label,preferred_occupation_title,preferred_title_type,preferred_jurisdiction_scope,is_preferred_title
323215,"Textile, Clothing and Footwear Mechanic (P)",P,principal,Generic,"Textile, Clothing and Footwear Mechanic",textile clothing and footwear mechanic,3,32,323,3232,Technicians and Trades Workers,"Textile, Clothing and Footwear Mechanic",principal,Generic,True
323215,Loom Tuner (S),S,specialisation,Generic,Loom Tuner,loom tuner,3,32,323,3232,Technicians and Trades Workers,"Textile, Clothing and Footwear Mechanic",principal,Generic,False
323215,Sewing Machine Mechanic (S),S,specialisation,Generic,Sewing Machine Mechanic,sewing machine mechanic,3,32,323,3232,Technicians and Trades Workers,"Textile, Clothing and Footwear Mechanic",principal,Generic,False
323215,Textile Machine Mechanic (S),S,specialisation,Generic,Textile Machine Mechanic,textile machine mechanic,3,32,323,3232,Technicians and Trades Workers,"Textile, Clothing and Footwear Mechanic",principal,Generic,False
323299,Metal Fitters and Machinists nec (P),P,principal,Generic,Metal Fitters and Machinists nec,metal fitters and machinists nec,3,32,323,3232,Technicians and Trades Workers,Metal Fitters and Machinists nec,principal,Generic,True
323299,Printing Engineer (N),N,nec_category,Generic,Printing Engineer,printing engineer,3,32,323,3232,Technicians and Trades Workers,Metal Fitters and Machinists nec,principal,Generic,False
323311,Engraver (P),P,principal,Generic,Engraver,engraver,3,32,323,3233,Technicians and Trades Workers,Engraver,principal,Generic,True
323312,Gunsmith (P),P,principal,Generic,Gunsmith,gunsmith,3,32,323,3233,Technicians and Trades Workers,Gunsmith,principal,Generic,True
323313,Locksmith (P),P,principal,Generic,Locksmith,locksmith,3,32,323,3233,Technicians and Trades Workers,Locksmith,principal,Generic,True
323313,Safemaker (S),S,specialisation,Generic,Safemaker,safemaker,3,32,323,3233,Technicians and Trades Workers,Locksmith,principal,Generic,False
323314,Precision Instrument Maker and Repairer (P),P,principal,Generic,Precision Instrument Maker and Repairer,precision instrument maker and repairer,3,32,323,3233,Technicians and Trades Workers,Precision Instrument Maker and Repairer,principal,Generic,True
323314,Camera Repairer (S),S,specialisation,Generic,Camera Repairer,camera repairer,3,32,323,3233,Technicians and Trades Workers,Precision Instrument Maker and Repairer,principal,Generic,False
323314,Scalemaker (S),S,specialisation,Generic,Scalemaker,scalemaker,3,32,323,3233,Technicians and Trades Workers,Precision Instrument Maker and Repairer,principal,Generic,False
323314,Scientific Instrument Maker and Repairer (S),S,specialisation,Generic,Scientific Instrument Maker and Repairer,scientific instrument maker and repairer,3,32,323,3233,Technicians and Trades Workers,Precision Instrument Maker and Repairer,principal,Generic,False
323315,Saw Maker and Repairer (P),P,principal,Generic,Saw Maker and Repairer,saw maker and repairer,3,32,323,3233,Technicians and Trades Workers,Saw Maker and Repairer,principal,Generic,True
323315,Saw Doctor (A),A,alternative,Generic,Saw Doctor,saw doctor,3,32,323,3233,Technicians and Trades Workers,Saw Maker and Repairer,principal,Generic,False
323315,Saw Sharpener (S),S,specialisation,Generic,Saw Sharpener,saw sharpener,3,32,323,3233,Technicians and Trades Workers,Saw Maker and Repairer,principal,Generic,False
323316,Watch and Clock Maker and Repairer (P),P,principal,Generic,Watch and Clock Maker and Repairer,watch and clock maker and repairer,3,32,323,3233,Technicians and Trades Workers,Watch and Clock Maker and Repairer,principal,Generic,True
323411,Engineering Patternmaker (P),P,principal,Generic,Engineering Patternmaker,engineering patternmaker,3,32,323,3234,Technicians and Trades Workers,Engineering Patternmaker,principal,Generic,True
323412,Toolmaker (P),P,principal,Generic,Toolmaker,toolmaker,3,32,323,3234,Technicians and Trades Workers,Toolmaker,principal,Generic,True
323412,Die Caster (S),S,specialisation,Generic,Die Caster,die caster,3,32,323,3234,Technicians and Trades Workers,Toolmaker,principal,Generic,False
323412,Die Sinker (S),S,specialisation,Generic,Die Sinker,die sinker,3,32,323,3234,Technicians and Trades Workers,Toolmaker,principal,Generic,False
323412,Jigmaker (Metal) (S),S,specialisation,Generic,Jigmaker (Metal),jigmaker metal,3,32,323,3234,Technicians and Trades Workers,Toolmaker,principal,Generic,False
323412,Plastic Mould Maker (S),S,specialisation,Generic,Plastic Mould Maker,plastic mould maker,3,32,323,3234,Technicians and Trades Workers,Toolmaker,principal,Generic,False
323412,Press-tool Maker (S),S,specialisation,Generic,Press-tool Maker,press tool maker,3,32,323,3234,Technicians and Trades Workers,Toolmaker,principal,Generic,False
324111,Panelbeater (P),P,principal,Generic,Panelbeater,panelbeater,3,32,324,3241,Technicians and Trades Workers,Panelbeater,principal,Generic,True
324111,Collision Repairer (A),A,alternative,Generic,Collision Repairer,collision repairer,3,32,324,3241,Technicians and Trades Workers,Panelbeater,principal,Generic,False
324211,Vehicle Body Builder (P),P,principal,Generic,Vehicle Body Builder,vehicle body builder,3,32,324,3242,Technicians and Trades Workers,Vehicle Body Builder,principal,Generic,True
324211,Vehicle Body Maker (A),A,alternative,Generic,Vehicle Body Maker,vehicle body maker,3,32,324,3242,Technicians and Trades Workers,Vehicle Body Builder,principal,Generic,False
