anzsco_code,occupation_title,national_shortage_rating,victoria_shortage_rating,skill_level,major_group_code,major_group_label
422111,Aboriginal And Torres Strait Islander Education Worker,No Shortage,No Shortage,4,4,Community and Personal Service Workers
411511,Aboriginal And Torres Strait Islander Health Worker,Shortage,Shortage,2,4,Community and Personal Service Workers
141999,Accommodation And Hospitality Managers NEC,No Shortage,No Shortage,2,1,Managers
221111,Accountant (General),No Shortage,No Shortage,1,2,Professionals
551111,Accounts Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
211111,Actor,No Shortage,No Shortage,1,2,Professionals
211199,"Actors, Dancers And Other Entertainers NEC",No Shortage,No Shortage,1,2,Professionals
224111,Actuary,Shortage,Shortage,1,2,Professionals
252211,Acupuncturist,No Shortage,No Shortage,1,2,Professionals
542112,Admissions Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
131113,Advertising Manager,No Shortage,No Shortage,1,1,Managers
225111,Advertising Specialist,No Shortage,No Shortage,1,2,Professionals
233911,Aeronautical Engineer,Shortage,Shortage,1,2,Professionals
231111,Aeroplane Pilot,Shortage,Shortage,1,2,Professionals
423111,Aged Or Disabled Carer,Shortage,Shortage,4,4,Community and Personal Service Workers
311112,Agricultural And Agritech Technician,Shortage,Shortage,2,3,Technicians and Trades Workers
721111,Agricultural And Horticultural Mobile Plant Operator,Regional Shortage,Regional Shortage,4,7,Machinery Operators and Drivers
234111,Agricultural Consultant,Shortage,Shortage,1,2,Professionals
233912,Agricultural Engineer,Shortage,Shortage,1,2,Professionals
234114,Agricultural Research Scientist,Shortage,Shortage,1,2,Professionals
234115,Agronomist,Shortage,Shortage,1,2,Professionals
231112,Air Traffic Controller,Shortage,Shortage,1,2,Professionals
231199,Air Transport Professionals NEC,Shortage,Shortage,1,2,Professionals
334112,Airconditioning And Mechanical Services Plumber,Shortage,Shortage,3,3,Technicians and Trades Workers
342111,Airconditioning And Refrigeration Mechanic,Shortage,Shortage,3,3,Technicians and Trades Workers
721911,Aircraft Baggage Handler And Airline Ground Crew,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
323111,Aircraft Maintenance Engineer (Avionics),Shortage,Shortage,3,3,Technicians and Trades Workers
323112,Aircraft Maintenance Engineer (Mechanical),Shortage,Shortage,3,3,Technicians and Trades Workers
323113,Aircraft Maintenance Engineer (Structures),Shortage,Shortage,3,3,Technicians and Trades Workers
733112,Aircraft Refueller,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
411111,Ambulance Officer,Shortage,Shortage,2,4,Community and Personal Service Workers
149111,Amusement Centre Manager,No Shortage,No Shortage,2,1,Managers
311211,Anaesthetic Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
253211,Anaesthetist,Shortage,Shortage,1,2,Professionals
261311,Analyst Programmer,No Shortage,No Shortage,1,2,Professionals
361199,Animal Attendants And Trainers NEC,No Shortage,No Shortage,4,3,Technicians and Trades Workers
311113,Animal Husbandry Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
142112,Antique Dealer,No Shortage,No Shortage,2,1,Managers
121311,Apiarist,No Shortage,No Shortage,1,1,Managers
393211,Apparel Cutter,No Shortage,No Shortage,3,3,Technicians and Trades Workers
121111,Aquaculture Farmer,No Shortage,No Shortage,1,1,Managers
234116,Aquaculture Or Fisheries Scientist,Shortage,Shortage,1,2,Professionals
311114,Aquaculture Or Fisheries Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
363111,Aquaculture Supervisor,No Shortage,No Shortage,3,3,Technicians and Trades Workers
362511,Arborist,Shortage,Shortage,2,3,Technicians and Trades Workers
272414,Archaeologist,No Shortage,No Shortage,1,2,Professionals
232111,Architect,No Shortage,No Shortage,1,2,Professionals
312111,Architectural Draftsperson,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312199,"Architectural, Building And Surveying Technicians NEC",No Shortage,No Shortage,2,3,Technicians and Trades Workers
224211,Archivist,No Shortage,No Shortage,1,2,Professionals
212311,"Art Director (Film, Television Or Stage)",No Shortage,No Shortage,1,2,Professionals
249211,Art Teacher (Private Tuition),No Shortage,No Shortage,1,2,Professionals
212111,Artistic Director,No Shortage,No Shortage,1,2,Professionals
139911,Arts Administrator Or Manager,No Shortage,No Shortage,1,1,Managers
611111,Auctioneer,No Shortage,No Shortage,3,6,Sales Workers
252711,Audiologist,Shortage,Shortage,1,2,Professionals
212211,Author,No Shortage,No Shortage,1,2,Professionals
899412,Autoglazier,Shortage,Shortage,4,8,Labourers
731199,Automobile Drivers NEC,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
321111,Automotive Electrician,Shortage,Shortage,3,3,Technicians and Trades Workers
721212,Backhoe Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
351111,Baker,Shortage,Shortage,3,3,Technicians and Trades Workers
552111,Bank Worker,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
431111,Bar Attendant,No Shortage,No Shortage,4,4,Community and Personal Service Workers
431112,Barista,No Shortage,No Shortage,4,4,Community and Personal Service Workers
271111,Barrister,No Shortage,No Shortage,1,2,Professionals
451111,Beauty Therapist,Shortage,Shortage,3,4,Community and Personal Service Workers
141911,Bed And Breakfast Operator,No Shortage,No Shortage,2,1,Managers
842311,Beef Cattle Farm Worker,No Shortage,No Shortage,4,8,Labourers
121312,Beef Cattle Farmer,No Shortage,No Shortage,1,1,Managers
142113,Betting Agency Manager,No Shortage,No Shortage,2,1,Managers
234513,Biochemist,No Shortage,No Shortage,1,2,Professionals
233913,Biomedical Engineer,Shortage,Shortage,1,2,Professionals
311313,Biosecurity Officer,No Shortage,No Shortage,2,3,Technicians and Trades Workers
234514,Biotechnologist,No Shortage,No Shortage,1,2,Professionals
322111,Blacksmith,No Shortage,No Shortage,3,3,Technicians and Trades Workers
149911,Boarding Kennel Or Cattery Operator,No Shortage,No Shortage,2,1,Managers
399111,Boat Builder And Repairer,Shortage,Shortage,3,3,Technicians and Trades Workers
451814,Body Artist,No Shortage,No Shortage,4,4,Community and Personal Service Workers
712911,Boiler Or Engine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
212212,Book Or Script Editor,No Shortage,No Shortage,1,2,Professionals
551211,Bookkeeper,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
552311,Bookmaker,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
234515,Botanist,No Shortage,No Shortage,1,2,Professionals
331111,Bricklayer,Shortage,Shortage,3,3,Technicians and Trades Workers
121711,Broadacre Crop And Livestock Farmer,No Shortage,No Shortage,1,1,Managers
121599,Broadacre Crop Growers NEC,No Shortage,No Shortage,1,1,Managers
399511,Broadcast Transmitter Operator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
312999,Building And Engineering Technicians NEC,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312112,Building Associate,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312113,Building Inspector,Shortage,Shortage,2,3,Technicians and Trades Workers
821411,Building Insulation Installer,No Shortage,No Shortage,4,8,Labourers
712912,Bulk Materials Handling Plant Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
721213,Bulldozer Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
452211,Bungy Jump Master,No Shortage,No Shortage,2,4,Community and Personal Service Workers
731211,Bus Driver,Shortage,Shortage,4,7,Machinery Operators and Drivers
612111,Business Broker,No Shortage,No Shortage,3,6,Sales Workers
342311,Business Machine Mechanic,No Shortage,No Shortage,3,3,Technicians and Trades Workers
351211,Butcher Or Smallgoods Maker,Shortage,Shortage,3,3,Technicians and Trades Workers
394112,Cabinet Maker,Shortage,Shortage,3,3,Technicians and Trades Workers
342411,Cabler (Data And Telecommunications),Shortage,Shortage,3,3,Technicians and Trades Workers
141111,Cafe Or Restaurant Manager,No Shortage,No Shortage,2,1,Managers
149211,Call Or Contact Centre Manager,No Shortage,No Shortage,2,1,Managers
541112,Call Or Contact Centre Operator,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
541111,Call Or Contact Centre Team Leader,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
399512,"Camera Operator (Film, Television Or Video)",No Shortage,No Shortage,3,3,Technicians and Trades Workers
393111,Canvas Goods Fabricator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
141211,Caravan Park And Camping Ground Manager,No Shortage,No Shortage,2,1,Managers
311212,Cardiac Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
253312,Cardiologist,Shortage,Shortage,1,2,Professionals
253512,Cardiothoracic Surgeon,Shortage,Shortage,1,2,Professionals
272111,Careers Counsellor,No Shortage,No Shortage,1,2,Professionals
331212,Carpenter,Shortage,Shortage,3,3,Technicians and Trades Workers
331211,Carpenter And Joiner,Shortage,Shortage,3,3,Technicians and Trades Workers
811611,Carpet Cleaner,No Shortage,No Shortage,4,8,Labourers
232213,Cartographer,No Shortage,No Shortage,1,2,Professionals
842312,Cattle And Sheep Farm Worker,No Shortage,No Shortage,4,8,Labourers
712913,Cement Production Plant Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
731212,Charter And Tour Bus Driver,Shortage,Shortage,4,7,Machinery Operators and Drivers
731111,Chauffeur,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
351311,Chef,Regional Shortage,Regional Shortage,2,3,Technicians and Trades Workers
233111,Chemical Engineer,No Shortage,No Shortage,1,2,Professionals
399211,Chemical Plant Operator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
711911,Chemical Production Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
234211,Chemist,No Shortage,No Shortage,1,2,Professionals
311411,Chemistry Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
111111,Chief Executive Or Managing Director,No Shortage,No Shortage,1,1,Managers
135111,Chief Information Officer,No Shortage,No Shortage,1,1,Managers
134111,Child Care Centre Manager,No Shortage,No Shortage,1,1,Managers
421111,Child Care Worker,Shortage,Shortage,3,4,Community and Personal Service Workers
423411,Child Or Youth Residential Care Assistant,No Shortage,No Shortage,3,4,Community and Personal Service Workers
252111,Chiropractor,Shortage,Shortage,1,2,Professionals
149912,Cinema Or Theatre Manager,No Shortage,No Shortage,2,1,Managers
451811,Civil Celebrant,No Shortage,No Shortage,3,4,Community and Personal Service Workers
233211,Civil Engineer,Shortage,Shortage,1,2,Professionals
312211,Civil Engineering Draftsperson,Shortage,Shortage,2,3,Technicians and Trades Workers
312212,Civil Engineering Technician,Shortage,Shortage,2,3,Technicians and Trades Workers
711111,Clay Products Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711199,"Clay, Concrete, Glass And Stone Processing Machine Operators NEC",No Shortage,No Shortage,4,7,Machinery Operators and Drivers
599999,Clerical And Administrative Workers NEC,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
599211,Clerk Of Court,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
599915,Clinical Coder,Shortage,Shortage,3,5,Clerical and Administrative Workers
253313,Clinical Haematologist,Shortage,Shortage,1,2,Professionals
272311,Clinical Psychologist,Shortage,Shortage,1,2,Professionals
393212,Clothing Patternmaker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
393299,Clothing Trades Workers NEC,No Shortage,No Shortage,3,3,Technicians and Trades Workers
222111,Commodities Trader,No Shortage,No Shortage,2,2,Professionals
342312,Communications Operator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
272611,Community Arts Worker,No Shortage,No Shortage,1,2,Professionals
411711,Community Worker,No Shortage,No Shortage,2,4,Community and Personal Service Workers
221211,Company Secretary,No Shortage,No Shortage,1,2,Professionals
252299,Complementary Health Therapists NEC,No Shortage,No Shortage,1,2,Professionals
211211,Composer,No Shortage,No Shortage,1,2,Professionals
263111,Computer Network And Systems Engineer,No Shortage,No Shortage,1,2,Professionals
712914,Concrete Batching Plant Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711112,Concrete Products Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
712915,Concrete Pump Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
149311,Conference And Event Organiser,No Shortage,No Shortage,2,1,Managers
234311,Conservation Officer,No Shortage,No Shortage,1,2,Professionals
234911,Conservator,No Shortage,No Shortage,1,2,Professionals
312114,Construction Estimator,Regional Shortage,Regional Shortage,2,3,Technicians and Trades Workers
133111,Construction Project Manager,Shortage,Shortage,1,1,Managers
821711,Construction Rigger,No Shortage,No Shortage,4,8,Labourers
225114,Content Creator (Marketing),No Shortage,No Shortage,1,2,Professionals
511111,Contract Administrator,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
599111,Conveyancer,Shortage,Shortage,2,5,Clerical and Administrative Workers
351411,Cook,Shortage,Shortage,3,3,Technicians and Trades Workers
212411,Copywriter,No Shortage,No Shortage,1,2,Professionals
111211,Corporate General Manager,No Shortage,No Shortage,1,1,Managers
132111,Corporate Services Manager,No Shortage,No Shortage,1,1,Managers
221212,Corporate Treasurer,No Shortage,No Shortage,1,2,Professionals
551112,Cost Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
842211,Cotton Farm Worker,No Shortage,No Shortage,4,8,Labourers
121511,Cotton Grower,No Shortage,No Shortage,1,1,Managers
272199,Counsellors NEC,No Shortage,No Shortage,1,2,Professionals
599212,Court Bailiff Or Sheriff,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
599213,Court Orderly,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
821911,Crane Chaser,No Shortage,No Shortage,4,8,Labourers
712111,"Crane, Hoist Or Lift Operator",Shortage,Shortage,4,7,Machinery Operators and Drivers
552211,Credit Or Loans Officer,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
442213,Crowd Controller,No Shortage,No Shortage,4,4,Community and Personal Service Workers
149212,Customer Service Manager,No Shortage,No Shortage,2,1,Managers
599511,Customs Officer,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
262114,Cyber Governance Risk And Compliance Specialist,Shortage,Shortage,1,2,Professionals
262115,Cyber Security Advice And Assessment Specialist,No Shortage,No Shortage,1,2,Professionals
262116,Cyber Security Analyst,No Shortage,No Shortage,1,2,Professionals
262117,Cyber Security Architect,Shortage,Shortage,1,2,Professionals
261315,Cyber Security Engineer,Shortage,Shortage,1,2,Professionals
262118,Cyber Security Operations Coordinator,Shortage,Shortage,1,2,Professionals
842313,Dairy Cattle Farm Worker,No Shortage,No Shortage,4,8,Labourers
121313,Dairy Cattle Farmer,No Shortage,No Shortage,1,1,Managers
249212,Dance Teacher (Private Tuition),No Shortage,No Shortage,1,2,Professionals
211112,Dancer Or Choreographer,No Shortage,No Shortage,1,2,Professionals
224114,Data Analyst,No Shortage,No Shortage,1,2,Professionals
532111,Data Entry Operator,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
224115,Data Scientist,No Shortage,No Shortage,1,2,Professionals
262111,Database Administrator,No Shortage,No Shortage,1,2,Professionals
599311,Debt Collector,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
899211,Deck Hand,Shortage,Shortage,4,8,Labourers
121314,Deer Farmer,No Shortage,No Shortage,1,1,Managers
732111,Delivery Driver,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
423211,Dental Assistant,No Shortage,No Shortage,4,4,Community and Personal Service Workers
411211,Dental Hygienist,Shortage,Shortage,1,4,Community and Personal Service Workers
411212,Dental Prosthetist,Shortage,Shortage,2,4,Community and Personal Service Workers
252311,Dental Specialist,Shortage,Shortage,1,2,Professionals
411213,Dental Technician,Shortage,Shortage,2,4,Community and Personal Service Workers
411214,Dental Therapist,Shortage,Shortage,1,4,Community and Personal Service Workers
252312,Dentist,Shortage,Shortage,1,2,Professionals
253911,Dermatologist,Shortage,Shortage,1,2,Professionals
591211,Despatching And Receiving Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
261312,Developer Programmer,No Shortage,No Shortage,1,2,Professionals
261316,Devops Engineer,Shortage,Shortage,1,2,Professionals
253917,Diagnostic And Interventional Radiologist,Shortage,Shortage,1,2,Professionals
321212,Diesel Motor Mechanic,Shortage,Shortage,3,3,Technicians and Trades Workers
251111,Dietitian,No Shortage,No Shortage,1,2,Professionals
225115,Digital Marketing Analyst,No Shortage,No Shortage,1,2,Professionals
212312,"Director (Film, Television, Radio Or Stage)",No Shortage,No Shortage,1,2,Professionals
212313,Director Of Photography,No Shortage,No Shortage,1,2,Professionals
411712,Disabilities Services Officer,No Shortage,No Shortage,2,4,Community and Personal Service Workers
399911,Diver,No Shortage,No Shortage,3,3,Technicians and Trades Workers
411311,Diversional Therapist,No Shortage,No Shortage,3,4,Community and Personal Service Workers
452311,Diving Instructor (Open Water),No Shortage,No Shortage,3,4,Community and Personal Service Workers
452318,Dog And Horse Racing Official,No Shortage,No Shortage,3,4,Community and Personal Service Workers
361111,Dog Handler Or Trainer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
334113,Drainer,Shortage,Shortage,3,3,Technicians and Trades Workers
249213,Drama Teacher (Private Tuition),No Shortage,No Shortage,1,2,Professionals
393213,Dressmaker Or Tailor,No Shortage,No Shortage,3,3,Technicians and Trades Workers
712211,Driller,Shortage,Shortage,4,7,Machinery Operators and Drivers
451211,Driving Instructor,No Shortage,No Shortage,3,4,Community and Personal Service Workers
272112,Drug And Alcohol Counsellor,No Shortage,No Shortage,1,2,Professionals
241111,Early Childhood (Pre-Primary School) Teacher,Shortage,Shortage,1,2,Professionals
311412,Earth Science Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
721211,Earthmoving Plant Operator (General),Regional Shortage,Regional Shortage,4,7,Machinery Operators and Drivers
224311,Economist,No Shortage,No Shortage,1,2,Professionals
249111,Education Adviser,No Shortage,No Shortage,1,2,Professionals
134499,Education Managers NEC,No Shortage,No Shortage,1,1,Managers
249112,Education Reviewer,No Shortage,No Shortage,1,2,Professionals
272312,Educational Psychologist,Shortage,Shortage,1,2,Professionals
224911,Electorate Officer,No Shortage,No Shortage,1,2,Professionals
233311,Electrical Engineer,Shortage,No Shortage,1,2,Professionals
312311,Electrical Engineering Draftsperson,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312312,Electrical Engineering Technician,Metro Shortage,Metro Shortage,2,3,Technicians and Trades Workers
342211,Electrical Linesworker / Electrical Line Mechanic,Shortage,Shortage,3,3,Technicians and Trades Workers
341111,Electrician (General),Shortage,Shortage,3,3,Technicians and Trades Workers
341112,Electrician (Special Class),Shortage,Shortage,3,3,Technicians and Trades Workers
312411,Electronic Engineering Draftsperson,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312412,Electronic Engineering Technician,Shortage,Shortage,2,3,Technicians and Trades Workers
342313,Electronic Equipment Trades Worker,Regional Shortage,Regional Shortage,3,3,Technicians and Trades Workers
342314,Electronic Instrument Trades Worker (General),Shortage,Shortage,3,3,Technicians and Trades Workers
342315,Electronic Instrument Trades Worker (Special Class),Shortage,Shortage,3,3,Technicians and Trades Workers
233411,Electronics Engineer,No Shortage,No Shortage,1,2,Professionals
322112,Electroplater,No Shortage,No Shortage,3,3,Technicians and Trades Workers
253912,Emergency Medicine Specialist,Shortage,Shortage,1,2,Professionals
441211,Emergency Service Worker,No Shortage,No Shortage,3,4,Community and Personal Service Workers
253315,Endocrinologist,Shortage,Shortage,1,2,Professionals
133211,Engineering Manager,No Shortage,No Shortage,1,1,Managers
323411,Engineering Patternmaker,Shortage,Shortage,3,3,Technicians and Trades Workers
712311,Engineering Production Worker,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
233999,Engineering Professionals NEC,No Shortage,No Shortage,1,2,Professionals
233914,Engineering Technologist,Shortage,Shortage,1,2,Professionals
323311,Engraver,No Shortage,No Shortage,3,3,Technicians and Trades Workers
411411,Enrolled Nurse,Regional Shortage,Regional Shortage,2,4,Community and Personal Service Workers
211113,Entertainer Or Variety Artist,No Shortage,No Shortage,1,2,Professionals
234521,Entomologist,No Shortage,No Shortage,1,2,Professionals
234312,Environmental Consultant,No Shortage,No Shortage,1,2,Professionals
233915,Environmental Engineer,Shortage,Shortage,1,2,Professionals
251311,Environmental Health Officer,Regional Shortage,Regional Shortage,1,2,Professionals
139912,Environmental Manager,No Shortage,No Shortage,1,1,Managers
234313,Environmental Research Scientist,Shortage,Shortage,1,2,Professionals
234399,Environmental Scientists NEC,No Shortage,No Shortage,1,2,Professionals
149915,Equipment Hire Manager,No Shortage,No Shortage,2,1,Managers
721214,Excavator Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
234915,Exercise Physiologist,No Shortage,No Shortage,1,2,Professionals
899413,Exhaust And Muffler Repairer,No Shortage,No Shortage,4,8,Labourers
221213,External Auditor,Shortage,Shortage,1,2,Professionals
599916,Facilities Administrator,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
149913,Facilities Manager,No Shortage,No Shortage,2,1,Managers
134411,Faculty Head,No Shortage,No Shortage,1,1,Managers
272113,Family And Marriage Counsellor,No Shortage,No Shortage,1,2,Professionals
421112,Family Day Care Worker,No Shortage,No Shortage,4,4,Community and Personal Service Workers
411713,Family Support Worker,No Shortage,No Shortage,2,4,Community and Personal Service Workers
322113,Farrier,Shortage,Shortage,3,3,Technicians and Trades Workers
232311,Fashion Designer,No Shortage,No Shortage,1,2,Professionals
821311,Fencer,No Shortage,No Shortage,4,8,Labourers
212314,Film And Video Editor,Shortage,Shortage,1,2,Professionals
212399,"Film, Television, Radio And Stage Directors NEC",No Shortage,No Shortage,1,2,Professionals
222112,Finance Broker,No Shortage,No Shortage,2,2,Professionals
132211,Finance Manager,No Shortage,No Shortage,1,1,Managers
222199,Financial Brokers NEC,No Shortage,No Shortage,2,2,Professionals
222299,Financial Dealers NEC,No Shortage,No Shortage,1,2,Professionals
149914,Financial Institution Branch Manager,No Shortage,No Shortage,2,1,Managers
222311,Financial Investment Adviser,No Shortage,No Shortage,1,2,Professionals
222312,Financial Investment Manager,No Shortage,No Shortage,1,2,Professionals
222211,Financial Market Dealer,No Shortage,No Shortage,1,2,Professionals
441212,Fire Fighter,No Shortage,No Shortage,3,4,Community and Personal Service Workers
399918,Fire Protection Equipment Technician,Regional Shortage,Regional Shortage,3,3,Technicians and Trades Workers
334117,Fire Protection Plumber,Shortage,Shortage,3,3,Technicians and Trades Workers
451815,First Aid Trainer,No Shortage,No Shortage,3,4,Community and Personal Service Workers
311311,Fisheries Officer,No Shortage,No Shortage,2,3,Technicians and Trades Workers
452212,Fishing Guide,No Shortage,No Shortage,3,4,Community and Personal Service Workers
899212,Fishing Hand,No Shortage,No Shortage,4,8,Labourers
363112,Fishing Leading Hand,No Shortage,No Shortage,3,3,Technicians and Trades Workers
149112,Fitness Centre Manager,No Shortage,No Shortage,2,1,Managers
452111,Fitness Instructor,No Shortage,No Shortage,4,4,Community and Personal Service Workers
323211,Fitter (General),Shortage,Shortage,3,3,Technicians and Trades Workers
323212,Fitter And Turner,Shortage,Shortage,3,3,Technicians and Trades Workers
323213,Fitter-Welder,Shortage,Shortage,3,3,Technicians and Trades Workers
149411,Fleet Manager,No Shortage,No Shortage,2,1,Managers
451711,Flight Attendant,Regional Shortage,Regional Shortage,3,4,Community and Personal Service Workers
332111,Floor Finisher,Shortage,Shortage,3,3,Technicians and Trades Workers
362111,Florist,No Shortage,No Shortage,3,3,Technicians and Trades Workers
