anzsco_code,occupation_title,national_shortage_rating,victoria_shortage_rating,skill_level,major_group_code,major_group_label
121318,Pig Farmer,No Shortage,No Shortage,1,1,Managers
842315,Piggery Farm Worker,No Shortage,No Shortage,4,8,Labourers
333211,Plasterer (Wall And Ceiling),Shortage,Shortage,3,3,Technicians and Trades Workers
253517,Plastic And Reconstructive Surgeon,Shortage,Shortage,1,2,Professionals
711511,Plastic Cablemaking Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711512,Plastic Compounding And Reclamation Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711599,Plastics And Rubber Production Machine Operators NEC,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711513,Plastics Fabricator Or Welder,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711514,Plastics Production Machine Operator (General),No Shortage,No Shortage,4,7,Machinery Operators and Drivers
399916,Plastics Technician,No Shortage,No Shortage,3,3,Technicians and Trades Workers
334116,Plumber (General),Shortage,Shortage,3,3,Technicians and Trades Workers
312115,Plumbing Inspector,No Shortage,No Shortage,2,3,Technicians and Trades Workers
252611,Podiatrist,Shortage,Shortage,1,2,Professionals
441312,Police Officer,No Shortage,No Shortage,2,4,Community and Personal Service Workers
224412,Policy Analyst,No Shortage,No Shortage,1,2,Professionals
132411,Policy And Planning Manager,No Shortage,No Shortage,1,1,Managers
142115,Post Office Manager,No Shortage,No Shortage,2,1,Managers
211412,Potter Or Ceramic Artist,No Shortage,No Shortage,1,2,Professionals
842316,Poultry Farm Worker,No Shortage,No Shortage,4,8,Labourers
121321,Poultry Farmer,No Shortage,No Shortage,1,1,Managers
399213,Power Generation Plant Operator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
512299,Practice Managers NEC,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
323314,Precision Instrument Maker And Repairer,Shortage,Shortage,3,3,Technicians and Trades Workers
422115,Preschool Aide,No Shortage,No Shortage,4,4,Community and Personal Service Workers
322312,Pressure Welder,Shortage,Shortage,3,3,Technicians and Trades Workers
134213,Primary Health Organisation Manager,No Shortage,No Shortage,1,1,Managers
311399,Primary Products Assurance And Inspection Officers NEC,No Shortage,No Shortage,2,3,Technicians and Trades Workers
311314,Primary Products Quality Assurance Officer,No Shortage,No Shortage,2,3,Technicians and Trades Workers
241213,Primary School Teacher,Shortage,Shortage,1,2,Professionals
392111,Print Finisher,No Shortage,No Shortage,3,3,Technicians and Trades Workers
212413,Print Journalist,No Shortage,No Shortage,1,2,Professionals
899511,Printer's Assistant,No Shortage,No Shortage,4,8,Labourers
392311,Printing Machinist,No Shortage,No Shortage,3,3,Technicians and Trades Workers
899512,Printing Table Worker,No Shortage,No Shortage,4,8,Labourers
442111,Prison Officer,No Shortage,No Shortage,4,4,Community and Personal Service Workers
442214,Private Investigator,No Shortage,No Shortage,4,4,Community and Personal Service Workers
249299,Private Tutors And Teachers NEC,No Shortage,No Shortage,1,2,Professionals
133612,Procurement Manager,No Shortage,No Shortage,1,1,Managers
839311,Product Examiner,No Shortage,No Shortage,4,8,Labourers
839312,Product Grader,No Shortage,No Shortage,4,8,Labourers
839313,Product Tester,No Shortage,No Shortage,4,8,Labourers
599912,"Production Assistant (Film, Television, Radio Or Stage)",No Shortage,No Shortage,4,5,Clerical and Administrative Workers
591112,Production Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
133511,Production Manager (Forestry),No Shortage,No Shortage,1,1,Managers
133512,Production Manager (Manufacturing),No Shortage,No Shortage,1,1,Managers
133513,Production Manager (Mining),No Shortage,No Shortage,1,1,Managers
121614,Production Nursery Grower,No Shortage,No Shortage,1,1,Managers
233513,Production Or Plant Engineer,No Shortage,No Shortage,1,2,Professionals
212315,Program Director (Television Or Radio),No Shortage,No Shortage,1,2,Professionals
511112,Program Or Project Administrator,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
133112,Project Builder,No Shortage,No Shortage,1,1,Managers
599913,Proof Reader,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
612112,Property Manager,No Shortage,No Shortage,3,6,Sales Workers
253411,Psychiatrist,Shortage,Shortage,1,2,Professionals
272399,Psychologists NEC,Shortage,Shortage,1,2,Professionals
272314,Psychotherapist,No Shortage,No Shortage,1,2,Professionals
131114,Public Relations Manager,No Shortage,No Shortage,1,1,Managers
225311,Public Relations Professional,No Shortage,No Shortage,1,2,Professionals
591113,Purchasing Officer,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
139916,Quality Assurance Manager,No Shortage,No Shortage,1,1,Managers
233213,Quantity Surveyor,Shortage,Shortage,1,2,Professionals
253918,Radiation Oncologist,Shortage,Shortage,1,2,Professionals
899414,Radiator Repairer,No Shortage,No Shortage,4,8,Labourers
599914,Radio Despatcher,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
212414,Radio Journalist,No Shortage,No Shortage,1,2,Professionals
212113,Radio Presenter,No Shortage,No Shortage,1,2,Professionals
313211,Radiocommunications Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
