table_id,table_number,table_title,slice_section,metric_label,measure_label,survey_year,value,value_raw,value_status,value_has_asterisk,value_unit,slice_dataset,is_ai_module,anzsco_join_note,value_outlier_flag
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2015,10.3,10.3*,reported,True,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2017,5.8,5.8*,reported,True,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2019,13.8,13.8,reported,False,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2021,12.5,12.5,reported,False,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2023,8.2,8.2,reported,False,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2025,20.4,20.4*,reported,True,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2007,,np,not_publishable,False,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers providing no training,2005,,na,not_available,False,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers using accredited training,2007,43.6,43.6*,reported,True,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Industry,Administrative and support services,Employers using accredited training,2009,48.3,48.3,reported,False,pct,industry,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
